topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
List of fish and seafood soups,0.6,0.4,56,60,0.19999999999999996
Rōmusha,0.6,0.4,99,5,0.19999999999999996
List of Utricularia species,0.6,0.4,27,15,0.19999999999999996
Rust (fungus),0.6,0.4,46,15,0.19999999999999996
List of Spanish flu cases,0.6,0.4,19,25,0.19999999999999996
List of Nicotiana species,0.6,0.4,100,40,0.19999999999999996
List of Kereta Api Indonesia rolling stock classes,0.6,0.4,85,5,0.19999999999999996
List of Corvus species,0.6,0.4,75,15,0.19999999999999996
List of Archaea genera,0.6,0.4,24,225,0.19999999999999996
List of American television series impacted by the COVID-19 pandemic,1.0,0.8,62,15,0.19999999999999996
Signal strength and readability report,0.6,0.4,82,5,0.19999999999999996
SAM (file format),0.6,0.4,58,400,0.19999999999999996
SARS-CoV-2 variants,0.6,0.4,0,5,0.19999999999999996
Lipid,1.0,0.8,37,10,0.19999999999999996
Liotrix,1.0,0.8,57,5,0.19999999999999996
Lincosamides,0.6,0.4,64,110,0.19999999999999996
SS Politician,0.6,0.4,86,5,0.19999999999999996
Leukoencephalopathy,0.6,0.4,92,5,0.19999999999999996
List of active United States military aircraft,0.6,0.4,46,5,0.19999999999999996
"Russian warship, go fuck yourself",0.6,0.4,74,10,0.19999999999999996
Russian Alsos,1.0,0.8,24,10,0.19999999999999996
List of birds of Everglades National Park,0.6,0.4,59,5,0.19999999999999996
Rhizaria,1.0,0.8,38,25,0.19999999999999996
List of equipment of the Lebanese Armed Forces,0.6,0.4,100,5,0.19999999999999996
Rinchenia,0.6,0.4,78,20,0.19999999999999996
Rinderpest,0.6,0.4,93,30,0.19999999999999996
Risus sardonicus,0.6,0.4,66,5,0.19999999999999996
List of disabled human pseudogenes,0.6,0.4,48,75,0.19999999999999996
List of deaths due to COVID-19,0.6,0.4,98,25,0.19999999999999996
List of corvette classes,0.6,0.4,84,70,0.19999999999999996
List of captive-bred meat animals,1.0,0.8,43,10,0.19999999999999996
List of breweries in Florida,0.6,0.4,76,5,0.19999999999999996
List of birds of the Czech Republic,0.6,0.4,29,5,0.19999999999999996
Rule 34 (disambiguation),1.0,0.8,36,5,0.19999999999999996
List of birds of Massachusetts,0.6,0.4,76,10,0.19999999999999996
List of birds of Indiana,0.6,0.4,25,5,0.19999999999999996
List of birds of Honduras,0.6,0.4,59,15,0.19999999999999996
Lethal autonomous weapon,1.0,0.8,61,10,0.19999999999999996
Salivary gland,0.6,0.4,38,5,0.19999999999999996
Salmonella,0.6,0.4,36,90,0.19999999999999996
Selectable marker,1.0,0.8,0,5,0.19999999999999996
Senolytic,1.0,0.8,25,5,0.19999999999999996
Kiyoshi Shiga,0.6,0.4,4,5,0.19999999999999996
Serum (blood),1.0,0.8,85,30,0.19999999999999996
Kikuchi disease,0.6,0.4,64,190,0.19999999999999996
Khasekhemwy,0.6,0.4,72,5,0.19999999999999996
Sexual abuse and intellectual disability,1.0,0.8,56,5,0.19999999999999996
Kell antigen system,0.6,0.4,4,20,0.19999999999999996
Kavanah,1.0,0.8,82,5,0.19999999999999996
Shelf Life Extension Program,1.0,0.8,47,20,0.19999999999999996
Sherman–Morrison formula,1.0,0.8,74,5,0.19999999999999996
Shortages related to the COVID-19 pandemic,0.6,0.4,3,15,0.19999999999999996
Kalthifrons,0.6,0.4,60,5,0.19999999999999996
Siderophore,1.0,0.8,84,45,0.19999999999999996
K with stroke and diagonal stroke,0.6,0.4,53,5,0.19999999999999996
Joint United Nations Programme on HIV/AIDS,1.0,0.8,23,5,0.19999999999999996
Semliki Forest virus,0.6,0.4,0,5,0.19999999999999996
Komsomolets armored tractor,0.6,0.4,97,5,0.19999999999999996
Salmonella enterica subsp. enterica,0.6,0.4,77,400,0.19999999999999996
Kosmos 954,0.6,0.4,81,5,0.19999999999999996
Leloir pathway,0.6,0.4,98,10,0.19999999999999996
Salt substitute,0.6,0.4,99,5,0.19999999999999996
Sandawe language,0.6,0.4,53,5,0.19999999999999996
Lehmer code,0.6,0.4,28,10,0.19999999999999996
Lecanemab,0.6,0.4,36,5,0.19999999999999996
Scaffolding (bioinformatics),0.6,0.4,37,85,0.19999999999999996
Latrodectus,0.6,0.4,88,5,0.19999999999999996
Latin script in Unicode,0.6,0.4,89,15,0.19999999999999996
Language Integrated Query,1.0,0.8,46,30,0.19999999999999996
Schistosoma japonicum,0.6,0.4,46,55,0.19999999999999996
Laminated root rot,0.6,0.4,62,5,0.19999999999999996
Lagerpeton,0.6,0.4,32,5,0.19999999999999996
Lactobacillus iners,1.0,0.8,35,5,0.19999999999999996
Lactobacillus,1.0,0.8,66,175,0.19999999999999996
LCP array,1.0,0.8,40,30,0.19999999999999996
Jatropha curcas,1.0,0.8,18,5,0.19999999999999996
Ȧ,0.6,0.4,61,5,0.19999999999999996
Coronavirus,0.6,0.4,0,5,0.19999999999999996
Barbiturate overdose,1.0,0.8,17,5,0.19999999999999996
American cover-up of Japanese war crimes,0.6,0.4,2,5,0.19999999999999996
2021–2023 global supply chain crisis,0.6,0.4,22,25,0.19999999999999996
Consensus sequence,1.0,0.8,53,200,0.19999999999999996
Biomarker,0.6,0.4,57,15,0.19999999999999996
Classical swine fever,0.6,0.4,24,30,0.19999999999999996
Bassaricyon,0.6,0.4,92,140,0.19999999999999996
Canonicalization,1.0,0.8,33,15,0.19999999999999996
2023 Lake Huron high-altitude object,0.6,0.4,13,10,0.19999999999999996
Connectomics,1.0,0.8,55,10,0.19999999999999996
Classification of the Indigenous languages of the Americas,0.6,0.4,99,5,0.19999999999999996
Apocrine,1.0,0.8,72,10,0.19999999999999996
COMPASS,0.6,0.4,17,5,0.19999999999999996
Botrytis cinerea,0.6,0.4,74,5,0.19999999999999996
Cell fractionation,1.0,0.8,68,10,0.19999999999999996
Claviceps purpurea,1.0,0.8,79,5,0.19999999999999996
2024 Southern Jaguars football team,1.0,0.8,68,5,0.19999999999999996
COVID-19 lockdown in China,0.6,0.4,74,10,0.19999999999999996
DTaP-IPV/Hib vaccine,0.6,0.4,77,15,0.19999999999999996
Aerobic vaginitis,0.6,0.4,44,55,0.19999999999999996
DNS-based Authentication of Named Entities,1.0,0.8,61,5,0.19999999999999996
2024 United States listeriosis outbreak,0.6,0.4,54,10,0.19999999999999996
2024 in paleomammalogy,0.6,0.4,62,120,0.19999999999999996
Crop tolerance to seawater,1.0,0.8,13,5,0.19999999999999996
2024–25 Championnat National,0.6,0.4,17,65,0.19999999999999996
Aphididae,0.6,0.4,88,10,0.19999999999999996
Botany,0.6,0.4,60,10,0.19999999999999996
DNA sensors,0.6,0.4,0,5,0.19999999999999996
2021 in science,1.0,0.8,79,5,0.19999999999999996
Aflatoxin,0.6,0.4,0,5,0.19999999999999996
Apolipoprotein,0.6,0.4,10,50,0.19999999999999996
Amanita phalloides,0.6,0.4,71,5,0.19999999999999996
1954–55 Football League,0.6,0.4,90,5,0.19999999999999996
Bioeffector,1.0,0.8,91,10,0.19999999999999996
Definition of terrorism,1.0,0.8,59,5,0.19999999999999996
Arabinogalactan,0.6,0.4,58,35,0.19999999999999996
Cecil Kelley criticality accident,1.0,0.8,70,5,0.19999999999999996
Ageusia,0.6,0.4,85,5,0.19999999999999996
Atipamezole,1.0,0.8,49,5,0.19999999999999996
1976 swine flu outbreak,0.6,0.4,92,95,0.19999999999999996
1978 Los Angeles Dodgers season,0.6,0.4,25,5,0.19999999999999996
1984 Rajneeshee bioterror attack,0.6,0.4,37,10,0.19999999999999996
Biological dark matter,0.6,0.4,20,470,0.19999999999999996
1999 Ukrainian presidential election,0.6,0.4,41,5,0.19999999999999996
Application software,1.0,0.8,51,5,0.19999999999999996
Amblyomma americanum,0.6,0.4,72,10,0.19999999999999996
2001 Major League Baseball season,0.6,0.4,70,5,0.19999999999999996
Agaricus albolutescens,0.6,0.4,61,10,0.19999999999999996
Civet (perfumery),0.6,0.4,14,5,0.19999999999999996
Cefditoren,0.6,0.4,17,20,0.19999999999999996
Capnocytophaga canimorsus,0.6,0.4,62,140,0.19999999999999996
2011 Svalbard Polar Bear Attack,0.6,0.4,7,440,0.19999999999999996
Chestnut blight,0.6,0.4,35,5,0.19999999999999996
Apoptosis,0.6,0.4,68,10,0.19999999999999996
Bat wing development,1.0,0.8,29,5,0.19999999999999996
2016 shooting of Dallas police officers,1.0,0.8,29,10,0.19999999999999996
2019 Samoa measles outbreak,0.6,0.4,50,10,0.19999999999999996
2020 Palghar mob lynching,1.0,0.8,87,5,0.19999999999999996
Biopharmaceutical,0.6,0.4,2,45,0.19999999999999996
Biopharming,0.6,0.4,0,5,0.19999999999999996
Agglutination (biology),1.0,0.8,7,15,0.19999999999999996
COVID-19 lockdowns,0.6,0.4,39,15,0.19999999999999996
Cannabaceae,0.6,0.4,81,5,0.19999999999999996
Bacteroides,1.0,0.8,74,120,0.19999999999999996
Canis mosbachensis,0.6,0.4,23,15,0.19999999999999996
Coccidioidomycosis,0.6,0.4,45,10,0.19999999999999996
Abstract (summary),0.6,0.4,72,10,0.19999999999999996
Antibiotic resistance markers,1.0,0.8,0,5,0.19999999999999996
Adeno-associated virus,0.6,0.4,0,5,0.19999999999999996
Cue sheet (computing),0.6,0.4,40,5,0.19999999999999996
Cold medicine,0.6,0.4,85,5,0.19999999999999996
Anthrax toxin,0.6,0.4,0,5,0.19999999999999996
Achromobacter xylosoxidans,0.6,0.4,48,15,0.19999999999999996
Chaotropic agent,1.0,0.8,86,5,0.19999999999999996
Colistin,1.0,0.8,70,10,0.19999999999999996
Acid-fastness,0.6,0.4,71,10,0.19999999999999996
Candidal intertrigo,1.0,0.8,3,5,0.19999999999999996
Cyclooxygenase-2,0.6,0.4,50,15,0.19999999999999996
Cupiennius salei,0.6,0.4,90,25,0.19999999999999996
Acinetobacter baumannii,0.6,0.4,23,85,0.19999999999999996
Challenge–response authentication,1.0,0.8,51,10,0.19999999999999996
Acoramidis,0.6,0.4,40,20,0.19999999999999996
Cancer vaccine,1.0,0.8,35,80,0.19999999999999996
Acrylamide,1.0,0.8,70,5,0.19999999999999996
Bacitracin,0.6,0.4,77,15,0.19999999999999996
Canavanine,0.6,0.4,57,140,0.19999999999999996
Cutaneous leishmaniasis,0.6,0.4,76,70,0.19999999999999996
Bacillus globigii,0.6,0.4,0,5,0.19999999999999996
Cyanocobalamin,0.6,0.4,72,5,0.19999999999999996
Adenosine receptor antagonist,1.0,0.8,89,5,0.19999999999999996
Co-infection,1.0,0.8,0,5,0.19999999999999996
Crystallopathy,1.0,0.8,80,15,0.19999999999999996
COVID-19 pandemic in France,0.6,0.4,37,25,0.19999999999999996
Cytotoxicity,1.0,0.8,100,20,0.19999999999999996
Cross-reactive immunity,1.0,0.8,0,5,0.19999999999999996
Bornean tiger,0.6,0.4,46,5,0.19999999999999996
Aedes albopictus,1.0,0.8,0,5,0.19999999999999996
Clonorchiasis,0.6,0.4,90,40,0.19999999999999996
Auto-brewery syndrome,1.0,0.8,0,5,0.19999999999999996
COVID-19 pandemic by country and territory,0.6,0.4,95,65,0.19999999999999996
Cryobiology,1.0,0.8,78,5,0.19999999999999996
Cryoconservation of animal genetic resources,1.0,0.8,57,50,0.19999999999999996
Clostridium tetani,0.6,0.4,53,50,0.19999999999999996
Central nervous system disease,0.6,0.4,55,5,0.19999999999999996
Antisense therapy,1.0,0.8,87,40,0.19999999999999996
Biotechnology risk,1.0,0.8,7,100,0.19999999999999996
Blood type distribution by country,0.6,0.4,75,15,0.19999999999999996
COVID-19 pandemic in Hong Kong,0.6,0.4,44,20,0.19999999999999996
COVID-19 pandemic in Japan,0.6,0.4,48,10,0.19999999999999996
Antiphospholipid syndrome,1.0,0.8,12,5,0.19999999999999996
Central–Eastern Malayo-Polynesian languages,1.0,0.8,96,5,0.19999999999999996
Adrenergic antagonist,1.0,0.8,29,5,0.19999999999999996
Blue rubber bleb nevus syndrome,1.0,0.8,80,5,0.19999999999999996
COVID-19 pandemic in Montenegro,0.6,0.4,29,10,0.19999999999999996
AES key schedule,0.6,0.4,79,5,0.19999999999999996
COVID-19 pandemic in Syria,1.0,0.8,12,30,0.19999999999999996
Comparison of operating systems,1.0,0.8,40,5,0.19999999999999996
AIDS (computer virus),0.6,0.4,55,90,0.19999999999999996
Autoimmune urticaria,0.6,0.4,61,10,0.19999999999999996
Alternanthera philoxeroides,0.6,0.4,96,5,0.19999999999999996
Actinomycetota,1.0,0.8,80,15,0.19999999999999996
16S ribosomal RNA,0.6,0.4,95,125,0.19999999999999996
Alloenzyme,1.0,0.8,11,95,0.19999999999999996
Cingulate cortex,1.0,0.8,68,5,0.19999999999999996
Choline,0.6,0.4,97,5,0.19999999999999996
Corpus spongiosum (penis),0.6,0.4,62,5,0.19999999999999996
Bicyclic molecule,0.6,0.4,70,5,0.19999999999999996
Allergic response,1.0,0.8,16,10,0.19999999999999996
Ciclopirox,0.6,0.4,42,5,0.19999999999999996
Bronchoalveolar lavage,1.0,0.8,36,5,0.19999999999999996
1854 Broad Street cholera outbreak,0.6,0.4,69,5,0.19999999999999996
Asd RNA motif,0.6,0.4,68,255,0.19999999999999996
Ascomycota,0.6,0.4,93,25,0.19999999999999996
Arctica islandica,1.0,0.8,93,5,0.19999999999999996
1900 English beer poisoning,1.0,0.8,44,115,0.19999999999999996
Air travel disruption after the 2010 Eyjafjallajökull eruption,0.6,0.4,48,5,0.19999999999999996
Chloromethane,0.6,0.4,89,50,0.19999999999999996
Ardeirhynchus,0.6,0.4,52,5,0.19999999999999996
Costello syndrome,1.0,0.8,46,10,0.19999999999999996
Burseraceae,0.6,0.4,5,10,0.19999999999999996
Ciguatoxin,0.6,0.4,75,25,0.19999999999999996
Corydoras,0.6,0.4,64,5,0.19999999999999996
Butyrylcholinesterase,0.6,0.4,55,5,0.19999999999999996
Alcohol consumption recommendations,0.6,0.4,73,5,0.19999999999999996
Brucella abortus,0.6,0.4,64,30,0.19999999999999996
Chorda tympani,1.0,0.8,22,10,0.19999999999999996
Corneal abrasion,0.6,0.4,6,5,0.19999999999999996
Cidofovir,1.0,0.8,89,55,0.19999999999999996
Carcinogen,1.0,0.8,57,25,0.19999999999999996
Brucella,0.6,0.4,0,5,0.19999999999999996
Bullous impetigo,1.0,0.8,56,55,0.19999999999999996
Bee pollen,0.6,0.4,66,5,0.19999999999999996
Cotesia congregata,0.6,0.4,91,15,0.19999999999999996
Chylomicron,0.6,0.4,65,20,0.19999999999999996
Butyricimonas,0.6,0.4,72,5,0.19999999999999996
"Coronavirus, Explained",0.6,0.4,48,10,0.19999999999999996
1837 Great Plains smallpox epidemic,1.0,0.8,97,15,0.19999999999999996
Bibliography,1.0,0.8,54,5,0.19999999999999996
Alkalihalobacillus clausii,0.6,0.4,73,5,0.19999999999999996
Corixidae,1.0,0.8,47,5,0.19999999999999996
Bees and toxic chemicals,0.6,0.4,17,10,0.19999999999999996
Circulating tumor DNA,0.6,0.4,75,65,0.19999999999999996
Chronic condition,0.6,0.4,90,10,0.19999999999999996
Chronic mucocutaneous candidiasis,0.6,0.4,2,10,0.19999999999999996
Agouti coloration genetics,0.6,0.4,70,85,0.19999999999999996
Asymptomatic carrier,0.6,0.4,29,60,0.19999999999999996
Bioaugmentation,1.0,0.8,40,20,0.19999999999999996
Bioaerosols,0.6,0.4,0,5,0.19999999999999996
Nociceptor,0.6,0.6,81,10,0.0
Nitrate radical,0.6,0.6,55,5,0.0
Bactrocera dorsalis,0.8,0.8,87,5,0.0
Ovotesticular syndrome,1.0,1.0,90,5,0.0
Badger culling in the United Kingdom,0.6,0.6,89,5,0.0
Bailey–Borwein–Plouffe formula,0.8,0.8,36,20,0.0
Bacteroidota,1.0,1.0,29,255,0.0
Osteoclast,1.0,1.0,83,5,0.0
Outline of war,1.0,1.0,14,3,0.0
Osimertinib,0.6,0.6,14,5,0.0
Oxidative phosphorylation,0.6,0.6,30,5,0.0
Nisin,0.6,0.6,75,45,0.0
Bacteroides fragilis,0.8,0.8,18,75,0.0
Nomen dubium,1.0,1.0,84,10,0.0
Oshkosh M-ATV,0.8,0.8,84,5,0.0
Oxidizing agent,0.8,0.8,93,5,0.0
Oxygen saturation,0.8,0.8,4,5,0.0
Nitration,0.8,0.8,29,5,0.0
Nitrazepam,0.8,0.8,40,5,0.0
Outline of the human nervous system,0.8,0.8,46,5,0.0
Bahia Honda Key,0.8,0.8,78,5,0.0
Nivkh languages,0.6,0.6,8,5,0.0
Osteosarcoma,1.0,1.0,13,15,0.0
Ostrya virginiana,0.6,0.6,26,5,0.0
Belimumab,0.8,0.8,26,15,0.0
Bahr El-Baqar primary school bombing,0.6,0.6,33,5,0.0
Nitrosamine,0.8,0.8,26,15,0.0
Nitromethane,1.0,1.0,88,5,0.0
Oudin coil,0.6,0.6,72,5,0.0
Osteomalacia,1.0,1.0,96,5,0.0
Beneficial insect,1.0,1.0,29,5,0.0
Ouranopithecus turkae,0.6,0.6,99,20,0.0
Nl (format),0.6,0.6,81,10,0.0
Outline of food preparation,0.8,0.8,8,5,0.0
Outline of nanotechnology,0.8,0.8,47,5,0.0
Nitrogen mustard,0.8,0.8,90,55,0.0
Nitrogen compounds,0.6,0.6,43,15,0.0
Bakumatsu,0.6,0.6,66,5,0.0
Outline of scientific method,1.0,1.0,73,5,0.0
Outline of the Doors,0.8,0.8,100,10,0.0
Ochratoxin,0.6,0.6,8,15,0.0
Bacterial toxins,1.0,1.0,0,5,0.0
Benevolent prejudice,1.0,1.0,11,5,0.0
Page (paper),0.6,0.6,16,5,0.0
Pagoclone,0.6,0.6,72,30,0.0
Pain in crustaceans,1.0,1.0,95,15,0.0
Palaeoptera,0.8,0.8,37,5,0.0
Paleodictyon,0.8,0.8,70,5,0.0
Paleolithic dog,0.8,0.8,81,5,0.0
Paleopathology,0.8,0.8,74,20,0.0
Palladin,1.0,1.0,100,45,0.0
Pallister–Killian syndrome,0.8,0.8,78,5,0.0
Nick translation,0.8,0.8,11,65,0.0
Nguni languages,0.6,0.6,100,5,0.0
New riddle of induction,0.6,0.6,65,10,0.0
Bacterial capsule,0.6,0.6,39,100,0.0
New Zealand Threat Classification System,0.6,0.6,32,20,0.0
Pan (genus),0.6,0.6,53,5,0.0
Panama disease,0.6,0.6,18,5,0.0
Bacterial artificial chromosome,0.8,0.8,0,5,0.0
Pandanus amaryllifolius,0.6,0.6,58,5,0.0
Pandemic,0.6,0.6,32,25,0.0
Pandemic H1N1/09 virus,0.6,0.6,1,55,0.0
Bacteria,0.8,0.8,47,30,0.0
Pannonian Rusyn,0.8,0.8,92,5,0.0
Neutrophil extracellular traps,0.6,0.6,0,5,0.0
Pantoea,0.5,0.5,83,12,0.0
Neutropenic enterocolitis,0.6,0.6,76,10,0.0
Bacillus thuringiensis,0.6,0.6,0,5,0.0
Pantry,1.0,1.0,98,5,0.0
Paperity,0.6,0.6,43,10,0.0
Page table,0.8,0.8,67,10,0.0
Page (computer memory),0.6,0.6,62,10,0.0
Benign fasciculation syndrome,0.6,0.6,9,5,0.0
Pablum,0.6,0.6,77,5,0.0
Oxygen tolerance,0.8,0.8,0,5,0.0
Oxygen toxicity,0.6,0.6,86,15,0.0
Ninjatō,0.6,0.6,79,5,0.0
Oxygen-16,0.6,0.6,60,10,0.0
Oxygen–hemoglobin dissociation curve,0.6,0.6,63,10,0.0
Ozanimod,0.6,0.6,40,10,0.0
Nimravides,1.0,1.0,93,10,0.0
Ozone therapy,0.8,0.8,86,5,0.0
Benzatropine,0.6,0.6,58,5,0.0
PA-X protein,0.8,0.8,0,5,0.0
PAX3,0.6,0.6,48,50,0.0
PB1-F2 protein,0.5,0.5,0,4,0.0
PCSK9,0.8,0.8,84,5,0.0
Nimodipine,0.6,0.6,75,10,0.0
Night eating syndrome,0.8,0.8,67,10,0.0
PD-1 and PD-L1 inhibitors,0.6,0.6,4,10,0.0
PDE4A,0.8,0.8,96,5,0.0
Nicotine,0.8,0.8,15,15,0.0
Benzo(a)pyrene,0.8,0.8,88,10,0.0
PDF/A,0.8,0.8,98,40,0.0
Nicotinamide mononucleotide,0.8,0.8,45,30,0.0
PEGylation,0.6,0.6,29,5,0.0
PETase,0.6,0.6,19,30,0.0
PLY (file format),0.6,0.6,98,15,0.0
POST (HTTP),1.0,1.0,94,5,0.0
PPP1R1B,0.6,0.6,93,10,0.0
PaLM,1.0,1.0,45,10,0.0
Beer measurement,0.6,0.6,60,5,0.0
Bank Julius Baer v. WikiLeaks,1.0,1.0,68,5,0.0
Osavampator,0.8,0.8,88,5,0.0
Nyala,0.6,0.6,94,5,0.0
Nutritional immunology,1.0,1.0,70,20,0.0
Oligodendrocyte,0.8,0.8,3,5,0.0
Oligodynamic effect,1.0,1.0,81,5,0.0
Oligomer,1.0,1.0,72,65,0.0
Oligopeptide,0.6,0.6,2,95,0.0
Oligosaccharide,0.6,0.6,3,90,0.0
Nutrient agar,0.6,0.6,60,10,0.0
Omalizumab,1.0,1.0,65,15,0.0
Omasum,0.8,0.8,8,5,0.0
Batrachotoxin,0.6,0.6,44,35,0.0
Nutraloaf,0.6,0.6,52,5,0.0
Nurse plant,0.6,0.6,86,10,0.0
Nuptial gift,0.6,0.6,86,5,0.0
Nunn–Lugar Cooperative Threat Reduction,0.6,0.6,9,10,0.0
Bat microbiota,1.0,1.0,0,5,0.0
Baum–Welch algorithm,1.0,1.0,84,20,0.0
Bat,0.8,0.8,5,5,0.0
One-shot learning (computer vision),1.0,1.0,76,5,0.0
Onsen,0.8,0.8,25,5,0.0
Numbering scheme,1.0,1.0,97,10,0.0
Number sense in animals,1.0,1.0,36,5,0.0
Ontology (information science),1.0,1.0,53,5,0.0
Onycha,0.6,0.6,94,5,0.0
Oocyte,0.8,0.8,80,5,0.0
Nucleotide,1.0,1.0,24,60,0.0
Bay (horse),0.6,0.6,81,5,0.0
Nucleoside,1.0,1.0,41,92,0.0
Oligoclonal band,0.8,0.8,31,30,0.0
Olfactory tract,0.6,0.6,36,10,0.0
Oryzias,0.6,0.6,69,5,0.0
Olfactory receptor,0.6,0.6,69,35,0.0
Battle of Lyman (September–October 2022),0.6,0.6,61,5,0.0
Ocrelizumab,1.0,1.0,83,10,0.0
Object–relational mapping,1.0,1.0,57,10,0.0
Octyl methoxycinnamate,0.8,0.8,85,5,0.0
Object composition,0.6,0.6,50,10,0.0
Object (grammar),0.6,0.6,66,10,0.0
Odonatoptera,0.8,0.8,26,5,0.0
Battle of Iwo Jima order of battle,0.8,0.8,30,5,0.0
Off-label use,1.0,1.0,91,5,0.0
Ofloxacin,0.8,0.8,90,5,0.0
Obfuscation,0.8,0.8,15,5,0.0
Battlefield archaeology,1.0,1.0,68,5,0.0
OTR-21 Tochka,0.8,0.8,62,10,0.0
Oily fish,0.8,0.8,36,5,0.0
Okapi BM25,0.6,0.6,24,150,0.0
Oktoberfest bombing,0.6,0.6,9,20,0.0
Okurigana,0.6,0.6,50,5,0.0
Old Irish grammar,1.0,1.0,88,25,0.0
Old Japanese,0.8,0.8,60,5,0.0
Battle of Amami-Ōshima,0.6,0.6,13,5,0.0
Oleanolic acid,0.6,0.6,54,5,0.0
Nystatin,1.0,1.0,19,5,0.0
Olenivka prison massacre,0.8,0.8,16,10,0.0
Nyquist–Shannon sampling theorem,0.8,0.8,37,5,0.0
Nypa fruticans,1.0,1.0,43,5,0.0
Nynetjer,0.6,0.6,99,5,0.0
Olfactory fatigue,1.0,1.0,81,20,0.0
Open Virtualization Format,0.6,0.6,92,5,0.0
Papilloma,1.0,1.0,46,10,0.0
Basophil,0.8,0.8,62,5,0.0
Operation Braunschweig,0.6,0.6,98,5,0.0
Organic food,1.0,1.0,82,5,0.0
Organic milk,1.0,1.0,43,5,0.0
Organophosphate,1.0,1.0,37,5,0.0
Organophosphate poisoning,0.8,0.8,63,15,0.0
Baricitinib,0.6,0.6,67,5,0.0
Origin of replication,0.8,0.8,76,15,0.0
Bardet–Biedl syndrome,0.8,0.8,73,10,0.0
Nose cone design,0.6,0.6,57,5,0.0
Orkhon inscriptions,0.6,0.6,74,5,0.0
Ornithine,0.8,0.8,90,55,0.0
Ornithocheirus,0.8,0.8,4,10,0.0
Ornithodesmus,0.6,0.6,82,5,0.0
Ornithomimidae,0.6,0.6,41,5,0.0
Bean weevil,0.8,0.8,50,5,0.0
Ornithopoda,0.6,0.6,60,5,0.0
Orphenadrine,0.6,0.6,45,5,0.0
Orthogonal complement,1.0,1.0,32,10,0.0
Orthographic transcription,0.8,0.8,54,5,0.0
Occupational hazards of grain facilities,0.6,0.6,43,5,0.0
Ballistic gelatin,0.8,0.8,85,5,0.0
Northern goshawk,0.6,0.6,92,5,0.0
Orthonormality,1.0,1.0,60,5,0.0
Norrie disease,0.6,0.6,51,5,0.0
Ballistic Missile Early Warning System,1.0,1.0,32,5,0.0
Normal (geometry),1.0,1.0,31,10,0.0
Orthosilicic acid,0.8,0.8,46,15,0.0
Orville Gibson,0.6,0.6,22,5,0.0
Organic and Biomolecular Chemistry,0.6,0.6,65,30,0.0
NoteCards,0.6,0.6,36,15,0.0
Organelle,0.6,0.6,15,10,0.0
Opioid,0.6,0.6,57,5,0.0
Bayesian multivariate linear regression,0.6,0.6,46,5,0.0
Bayesian search theory,0.8,0.8,92,5,0.0
Nucleic acid sequence,0.8,0.8,39,285,0.0
Basidiocarp,0.8,0.8,42,5,0.0
Base (chemistry),0.6,0.6,84,5,0.0
Nucleic acid double helix,1.0,1.0,97,40,0.0
Operon,0.6,0.6,63,75,0.0
Ophiophagy,0.6,0.6,92,5,0.0
Bcl-2 family,0.6,0.6,18,75,0.0
Ophir,0.6,0.6,84,5,0.0
Opiate,0.6,0.6,67,10,0.0
Opinion polling for the 2026 Russian legislative election,0.6,0.6,78,5,0.0
Nuclear strategy,0.8,0.8,37,5,0.0
Nothofagus,0.6,0.6,70,5,0.0
Opioid overdose,0.8,0.8,75,5,0.0
Opisthokont,0.8,0.8,100,35,0.0
Opisthotonus,0.8,0.8,77,5,0.0
Barry Harris,0.8,0.8,11,5,0.0
Opsin,0.6,0.6,59,5,0.0
Nuclear bunker buster,0.8,0.8,57,5,0.0
Novgorod veche,0.6,0.6,66,5,0.0
Barraquer–Simons syndrome,0.6,0.6,62,10,0.0
Beaker (laboratory equipment),0.6,0.6,16,5,0.0
Orcinus,0.6,0.6,43,5,0.0
Bean,0.6,0.6,6,5,0.0
Organ culture,0.8,0.8,56,15,0.0
Open reading frame,0.6,0.6,15,140,0.0
Device independent file format,0.6,0.6,62,10,0.0
Bacillus subtilis,0.6,0.6,7,15,0.0
Platelet,0.8,0.8,78,10,0.0
Ataxia–telangiectasia,0.6,0.6,23,15,0.0
Pneumomediastinum,1.0,1.0,79,5,0.0
Pneumodesmus,0.6,0.6,91,5,0.0
Pneumoconiosis,0.8,0.8,32,5,0.0
Ateji,0.6,0.6,40,5,0.0
Atgeir,0.8,0.8,53,5,0.0
Plummer–Vinson syndrome,1.0,1.0,98,10,0.0
Plumbagin,0.6,0.6,64,10,0.0
Plum Island Animal Disease Center,1.0,1.0,0,5,0.0
Plum Island (New York),0.6,0.6,1,5,0.0
Plug flow reactor model,0.6,0.6,30,5,0.0
Aticaprant,0.8,0.8,37,10,0.0
Pleurotus ostreatus,0.6,0.6,19,25,0.0
Pleura,0.8,0.8,10,5,0.0
Atomic bombings of Hiroshima and Nagasaki,0.8,0.8,82,5,0.0
Poaching (cooking),0.6,0.6,42,5,0.0
Atacama skeleton,1.0,1.0,75,5,0.0
Poem code,0.6,0.6,98,5,0.0
Poliovirus synthesis,0.6666666666666666,0.6666666666666666,0,3,0.0
Polycarbophil calcium,1.0,1.0,95,15,0.0
Polyadenylation,1.0,1.0,71,10,0.0
Political warfare,1.0,1.0,20,5,0.0
Political violence,0.6,0.6,99,5,0.0
Astroinformatics,1.0,1.0,11,10,0.0
