topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Lists of airlines,0.8,0.6,88,10,0.20000000000000007
List of equipment used by Russian people's militias in Ukraine,0.8,0.6,65,5,0.20000000000000007
Invitrogen,0.8,0.6,59,15,0.20000000000000007
Air–fuel ratio,0.8,0.6,76,10,0.20000000000000007
Aircraft marking,0.8,0.6,36,5,0.20000000000000007
Source control (respiratory disease),0.8,0.6,86,35,0.20000000000000007
Sortase,0.8,0.6,58,55,0.20000000000000007
Sorbus,0.8,0.6,56,5,0.20000000000000007
Nucleic acid sequence,0.8,0.6,39,285,0.20000000000000007
Nucleic acid tertiary structure,0.8,0.6,33,205,0.20000000000000007
Constituent (linguistics),0.8,0.6,9,5,0.20000000000000007
Intrinsic viscosity,0.8,0.6,60,5,0.20000000000000007
Nucleosome,0.8,0.6,7,25,0.20000000000000007
Convolvulaceae,0.8,0.6,73,15,0.20000000000000007
List of examples of convergent evolution,0.8,0.6,62,15,0.20000000000000007
Softmax function,0.8,0.6,99,5,0.20000000000000007
Coordinate vector,0.8,0.6,23,50,0.20000000000000007
Coordination sphere,0.8,0.6,34,5,0.20000000000000007
Jewish deportees from Norway during World War II,0.8,0.6,34,10,0.20000000000000007
List of doping cases in sport (Z),0.8,0.6,38,5,0.20000000000000007
Vasopressin,0.8,0.6,55,15,0.20000000000000007
Lists of watercraft types,0.8,0.6,93,5,0.20000000000000007
Adenine,0.8,0.6,46,95,0.20000000000000007
Needleman–Wunsch algorithm,0.8,0.6,45,175,0.20000000000000007
K-factor (marketing),0.8,0.6,31,25,0.20000000000000007
K-152 Nerpa accident,0.8,0.6,55,10,0.20000000000000007
List of cameras which provide geotagging,0.8,0.6,78,5,0.20000000000000007
Chromatin remodeling,0.8,0.6,72,15,0.20000000000000007
Androgen-dependent condition,0.8,0.6,65,5,0.20000000000000007
Chromosome,0.8,0.6,42,10,0.20000000000000007
Junk DNA,0.8,0.6,50,125,0.20000000000000007
Chromosome 5,0.8,0.6,18,90,0.20000000000000007
June 2017 Jerusalem attack,0.8,0.6,41,5,0.20000000000000007
Sticky platelet syndrome,0.8,0.6,77,5,0.20000000000000007
Julidochromis,0.8,0.6,86,30,0.20000000000000007
Neisseria flavescens,0.8,0.6,74,370,0.20000000000000007
Stenotrophomonas,0.8,0.6,53,50,0.20000000000000007
Macrolide,0.8,0.6,65,5,0.20000000000000007
Jour J (comics),0.8,0.6,39,5,0.20000000000000007
Joubert syndrome,0.8,0.6,83,5,0.20000000000000007
Neisseria sicca,0.8,0.6,98,5,0.20000000000000007
Cholesterol,0.8,0.6,47,5,0.20000000000000007
Choledochoduodenostomy,0.8,0.6,87,5,0.20000000000000007
Malaria,0.8,0.6,42,135,0.20000000000000007
Strictly standardized mean difference,0.8,0.6,99,5,0.20000000000000007
"List of birds of Washington, D.C.",0.8,0.6,15,5,0.20000000000000007
Ludvig Hektoen,0.8,0.6,51,5,0.20000000000000007
WDC 65C816,0.8,0.6,90,5,0.20000000000000007
Native American disease and epidemics,0.8,0.6,84,10,0.20000000000000007
Lixisenatide,0.8,0.6,66,30,0.20000000000000007
List of massacres in Ottoman Bulgaria,0.8,0.6,27,5,0.20000000000000007
Naval Air Station Pensacola shooting,0.8,0.6,83,10,0.20000000000000007
Strimvelis,0.8,0.6,30,15,0.20000000000000007
W50 (nuclear warhead),0.8,0.6,82,5,0.20000000000000007
Anthraquinones,0.8,0.6,64,10,0.20000000000000007
List of books bound in human skin,0.8,0.6,68,5,0.20000000000000007
Kai (conjunction),0.8,0.6,91,15,0.20000000000000007
KIT (gene),0.8,0.6,89,30,0.20000000000000007
Chloride,0.8,0.6,63,10,0.20000000000000007
Streptococcus bovis,0.8,0.6,83,260,0.20000000000000007
Chlorophyll,0.8,0.6,38,5,0.20000000000000007
Streptococcus anginosus,0.8,0.6,79,95,0.20000000000000007
Wolff–Parkinson–White syndrome,0.8,0.6,36,5,0.20000000000000007
Vomeronasal organ,0.8,0.6,77,5,0.20000000000000007
List of Australian artists,0.8,0.6,80,25,0.20000000000000007
List of crewed spacecraft,0.8,0.6,80,5,0.20000000000000007
List of crinoid genera,0.8,0.6,89,30,0.20000000000000007
Steatoda,0.8,0.6,35,5,0.20000000000000007
Joe Frank Harris,0.8,0.6,47,5,0.20000000000000007
Ciliopathy,0.8,0.6,88,5,0.20000000000000007
Ciliary neurotrophic factor,0.8,0.6,84,30,0.20000000000000007
Ventricle (heart),0.8,0.6,51,5,0.20000000000000007
Start codon,0.8,0.6,38,50,0.20000000000000007
List of culinary nuts,0.8,0.6,8,115,0.20000000000000007
Halotolerance,1.0,0.8,21,5,0.19999999999999996
HVV Den Haag,0.6,0.4,65,5,0.19999999999999996
Haenel MK 556,0.6,0.4,89,5,0.19999999999999996
List of birds of Antarctica,0.6,0.4,64,5,0.19999999999999996
Polyadenylation,1.0,0.8,71,10,0.19999999999999996
Hachiman,1.0,0.8,93,5,0.19999999999999996
Heredity,1.0,0.8,61,30,0.19999999999999996
Glutamine,0.6,0.4,78,25,0.19999999999999996
List of English palindromic phrases,0.6,0.4,25,5,0.19999999999999996
List of Germanic and Latinate equivalents in English,1.0,0.8,96,15,0.19999999999999996
Pinus resinosa,0.6,0.4,45,5,0.19999999999999996
Pichia,0.6,0.4,97,10,0.19999999999999996
Phytophthora infestans,0.6,0.4,36,10,0.19999999999999996
List of Drew University people,0.6,0.4,90,10,0.19999999999999996
Presumed ocular histoplasmosis syndrome,1.0,0.8,29,5,0.19999999999999996
Medium-chain acyl-coenzyme A dehydrogenase deficiency,1.0,0.8,90,20,0.19999999999999996
List of smoked foods,1.0,0.8,13,5,0.19999999999999996
List of birds of Everglades National Park,0.6,0.4,59,5,0.19999999999999996
Melioidosis,0.6,0.4,0,5,0.19999999999999996
List of active United States military aircraft,0.6,0.4,46,5,0.19999999999999996
Polish profanity,0.6,0.4,90,10,0.19999999999999996
Heterologous expression,0.6,0.4,0,5,0.19999999999999996
List of deaths due to COVID-19,0.6,0.4,98,25,0.19999999999999996
Herpes simplex virus,0.6,0.4,0,5,0.19999999999999996
List of Greek and Latin roots in English/A–G,0.6,0.4,37,5,0.19999999999999996
Marginal value theorem,0.6,0.4,23,5,0.19999999999999996
Marian Koshland,1.0,0.8,64,5,0.19999999999999996
List of HABS documentation of Wendover Air Force Base,0.6,0.4,98,10,0.19999999999999996
Hermodice carunculata,0.6,0.4,58,5,0.19999999999999996
List of birds of Indiana,0.6,0.4,25,5,0.19999999999999996
Piezoelectric sensor,1.0,0.8,96,5,0.19999999999999996
List of birds of Honduras,0.6,0.4,59,15,0.19999999999999996
List of Croatian Americans,0.6,0.4,72,210,0.19999999999999996
Heteronym (linguistics),1.0,0.8,71,5,0.19999999999999996
Glufosinate,0.6,0.4,83,10,0.19999999999999996
List of Jewish prayers and blessings,0.6,0.4,21,5,0.19999999999999996
Health risks from dead bodies,0.6,0.4,54,50,0.19999999999999996
Lysmata wurdemanni,0.6,0.4,88,10,0.19999999999999996
Hierarchical database model,1.0,0.8,100,5,0.19999999999999996
Marburg virus,0.6,0.4,0,5,0.19999999999999996
List of extinct languages and dialects of Europe,0.6,0.4,19,5,0.19999999999999996
MYF6,1.0,0.8,13,10,0.19999999999999996
Plum Island Animal Disease Center,1.0,0.8,0,5,0.19999999999999996
Physical characteristics of the Buddha,0.6,0.4,92,5,0.19999999999999996
List of birds of Saint Kitts and Nevis,0.6,0.4,71,10,0.19999999999999996
HSV amplicon,0.6,0.4,0,5,0.19999999999999996
Malassezia globosa,0.6,0.4,76,10,0.19999999999999996
Marbled crayfish,0.6,0.4,81,10,0.19999999999999996
Programmed cell death protein 1,1.0,0.8,33,20,0.19999999999999996
List of British Columbia senators,0.6,0.4,82,5,0.19999999999999996
Progressive myoclonus epilepsy,1.0,0.8,81,5,0.19999999999999996
Hispanopithecus,0.6,0.4,48,15,0.19999999999999996
List of aircraft of the Malaysian Armed Forces,1.0,0.8,96,5,0.19999999999999996
Menstruation,0.6,0.4,70,5,0.19999999999999996
Hazmat diving,1.0,0.8,52,5,0.19999999999999996
Memory timings,1.0,0.8,58,10,0.19999999999999996
Prevalence of rabies,0.6,0.4,94,30,0.19999999999999996
MarcEdit,0.6,0.4,19,10,0.19999999999999996
HIV-1,0.6,0.4,0,5,0.19999999999999996
Malaria in the River Thames,0.6,0.4,96,45,0.19999999999999996
HIV/AIDS in Russia,0.6,0.4,7,5,0.19999999999999996
HIV/AIDS in the United States,0.6,0.4,97,5,0.19999999999999996
Phytolith,0.6,0.4,6,15,0.19999999999999996
Gun serial number,0.6,0.4,68,5,0.19999999999999996
Phytohaemagglutinin,1.0,0.8,33,30,0.19999999999999996
List of reconstructed Dacian words,0.6,0.4,69,5,0.19999999999999996
Glucan,0.6,0.4,97,30,0.19999999999999996
Pneumococcal conjugate vaccine,0.6,0.4,4,35,0.19999999999999996
Memory distrust syndrome,1.0,0.8,78,5,0.19999999999999996
Male accessory gland,1.0,0.8,15,5,0.19999999999999996
Gun violence in U.S. schools,0.6,0.4,59,15,0.19999999999999996
Polymyxin,1.0,0.8,69,40,0.19999999999999996
MXD1,0.6,0.4,1,10,0.19999999999999996
Glyceraldehyde,0.6,0.4,72,20,0.19999999999999996
Piperaceae,0.6,0.4,69,5,0.19999999999999996
Gulf Intracoastal Waterway,0.6,0.4,64,5,0.19999999999999996
List of antioxidants in food,1.0,0.8,29,25,0.19999999999999996
Haplogroup L2,0.6,0.4,81,40,0.19999999999999996
List of RFCs,0.6,0.4,82,15,0.19999999999999996
Post-translational modification,1.0,0.8,0,5,0.19999999999999996
List of equipment of the Lebanese Armed Forces,0.6,0.4,100,5,0.19999999999999996
List of Phoenix Suns players by number,0.6,0.4,87,25,0.19999999999999996
List of common physics notations,1.0,0.8,14,55,0.19999999999999996
List of combat shotguns,1.0,0.8,7,5,0.19999999999999996
Gruiformes,0.6,0.4,67,5,0.19999999999999996
List of former mosques in Spain,1.0,0.8,57,5,0.19999999999999996
Plague of Cyprian,0.6,0.4,28,5,0.19999999999999996
Great Plague of London,0.6,0.4,72,5,0.19999999999999996
Hemolysis (microbiology),0.6,0.4,60,10,0.19999999999999996
List of U.S. Army rocket launchers,0.6,0.4,98,35,0.19999999999999996
List of Nicotiana species,0.6,0.4,100,40,0.19999999999999996
Magnetic reluctance,1.0,0.8,19,5,0.19999999999999996
List of airline codes (S),0.6,0.4,39,480,0.19999999999999996
Gossypium barbadense,0.6,0.4,67,15,0.19999999999999996
List of human microbiota,0.6,0.4,51,35,0.19999999999999996
Löffler's syndrome,0.6,0.4,82,5,0.19999999999999996
Post correspondence problem,1.0,0.8,74,20,0.19999999999999996
HMS Coventry (D118),1.0,0.8,80,5,0.19999999999999996
Marshall Islands stick chart,0.6,0.4,46,5,0.19999999999999996
List of Sephardic Jews,1.0,0.8,46,5,0.19999999999999996
List of Sapindaceae genera,0.6,0.4,19,75,0.19999999999999996
Group identifier,0.6,0.4,43,5,0.19999999999999996
List of Space Launch System launches,0.6,0.4,97,5,0.19999999999999996
Group A streptococcal infection,0.6,0.4,35,85,0.19999999999999996
Grossfuss Sturmgewehr,0.6,0.4,27,5,0.19999999999999996
List of airlines of Venezuela,1.0,0.8,94,10,0.19999999999999996
List of hospitals in Germany,1.0,0.8,59,5,0.19999999999999996
List of Roman nomina,1.0,0.8,49,5,0.19999999999999996
Plant taxonomy,0.6,0.4,49,5,0.19999999999999996
Positive-strand RNA virus,0.6,0.4,58,155,0.19999999999999996
Plant breeding,0.6,0.4,75,10,0.19999999999999996
Porphyromonas gingivalis,0.6,0.4,98,165,0.19999999999999996
List of scientific journals,0.6,0.4,49,50,0.19999999999999996
List of god games,0.6,0.4,75,15,0.19999999999999996
List of Nepenthes literature,0.6,0.4,77,5,0.19999999999999996
List of atheists (surnames R to S),0.6,0.4,53,10,0.19999999999999996
List of Southern African indigenous trees and woody lianes,0.6,0.4,85,35,0.19999999999999996
Mathematical model,1.0,0.8,65,5,0.19999999999999996
List of equipment of the Republic of Singapore Navy,0.6,0.4,47,5,0.19999999999999996
Gnetophyta,0.6,0.4,95,5,0.19999999999999996
List of WHO regions,0.6,0.4,69,40,0.19999999999999996
List of captive-bred meat animals,1.0,0.8,43,10,0.19999999999999996
Hepatitis B virus,0.6,0.4,38,225,0.19999999999999996
List of food contamination incidents,0.6,0.4,16,40,0.19999999999999996
Guano,1.0,0.8,62,5,0.19999999999999996
List of Kereta Api Indonesia rolling stock classes,0.6,0.4,85,5,0.19999999999999996
MRNA vaccine,0.6,0.4,5,40,0.19999999999999996
HEK 293 cells,0.6,0.4,0,5,0.19999999999999996
Piracetam,1.0,0.8,71,5,0.19999999999999996
MRPS22,0.6,0.4,37,30,0.19999999999999996
Malvaceae,0.6,0.4,53,170,0.19999999999999996
List of hypothetical technologies,1.0,0.8,60,5,0.19999999999999996
List of equipment of the United States Coast Guard,0.6,0.4,24,5,0.19999999999999996
Makiivka military quarters shelling,0.6,0.4,58,35,0.19999999999999996
Hepatotoxicity,0.6,0.4,19,10,0.19999999999999996
List of carnivorous plants,0.6,0.4,97,10,0.19999999999999996
Gobiraptor,0.6,0.4,51,5,0.19999999999999996
Lulav,0.6,0.4,23,5,0.19999999999999996
Place cell,1.0,0.8,23,5,0.19999999999999996
Haplogroup,1.0,0.8,96,5,0.19999999999999996
List of former equipment of the Finnish Army,0.6,0.4,93,5,0.19999999999999996
Marinid sultanate,1.0,0.8,75,640,0.19999999999999996
Magnetogenetics,0.6,0.4,30,15,0.19999999999999996
List of causes of death by rate,0.6,0.4,84,5,0.19999999999999996
Gold nanoparticles in chemotherapy,1.0,0.8,55,40,0.19999999999999996
Management cybernetics,1.0,0.8,97,5,0.19999999999999996
List of equipment of the Republic of Korea Armed Forces,0.6,0.4,39,30,0.19999999999999996
Hebomoia glaucippe,0.6,0.4,75,5,0.19999999999999996
Maurer's cleft,0.6,0.4,85,25,0.19999999999999996
Poem code,0.6,0.4,98,5,0.19999999999999996
List of Utricularia species,0.6,0.4,27,15,0.19999999999999996
Henut Taui,0.6,0.4,95,5,0.19999999999999996
Maxam–Gilbert sequencing,0.6,0.4,90,20,0.19999999999999996
Mammal classification,0.6,0.4,61,5,0.19999999999999996
Lucianovenator,0.6,0.4,75,5,0.19999999999999996
Pleurotus ostreatus,0.6,0.4,19,25,0.19999999999999996
Monoclonal antibody,1.0,0.8,52,15,0.19999999999999996
List of recipients of the Bravery Medal (Australia),0.6,0.4,75,5,0.19999999999999996
Justinus Kerner,1.0,0.8,50,5,0.19999999999999996
Journal of Medical Virology,0.6,0.4,86,10,0.19999999999999996
Inclusion bodies,1.0,0.8,0,5,0.19999999999999996
Oxygen scavenger,0.6,0.4,44,10,0.19999999999999996
Oxygen toxicity,0.6,0.4,86,15,0.19999999999999996
Project Gunrunner,0.6,0.4,18,5,0.19999999999999996
Jurkat cells,0.6,0.4,93,25,0.19999999999999996
PAX3,0.6,0.4,48,50,0.19999999999999996
Oxfendazole,0.6,0.4,76,5,0.19999999999999996
Impact of the COVID-19 pandemic on the cannabis industry,0.6,0.4,69,15,0.19999999999999996
K with stroke and diagonal stroke,0.6,0.4,53,5,0.19999999999999996
Impact of the COVID-19 pandemic on American sports broadcasting,0.6,0.4,17,15,0.19999999999999996
Immunotoxin,0.6,0.4,4,115,0.19999999999999996
PPP1R1B,0.6,0.4,93,10,0.19999999999999996
KDEL (amino acid sequence),1.0,0.8,61,230,0.19999999999999996
Neisseria gonorrhoeae,1.0,0.8,22,10,0.19999999999999996
Overlapping genes,0.6,0.4,0,5,0.19999999999999996
Indigenous people of New Guinea,0.6,0.4,30,5,0.19999999999999996
Jay A. Levy,0.6,0.4,82,5,0.19999999999999996
Neuromuscular disease,1.0,0.8,23,10,0.19999999999999996
Index of criminology articles,1.0,0.8,39,10,0.19999999999999996
Index of Windows games (T),0.6,0.4,75,85,0.19999999999999996
Jargon File,0.6,0.4,56,15,0.19999999999999996
Neuroendocrine tumor,0.6,0.4,75,5,0.19999999999999996
Java arquebus,0.6,0.4,62,5,0.19999999999999996
Neurobiological effects of physical exercise,1.0,0.8,95,5,0.19999999999999996
Neospora caninum,1.0,0.8,99,5,0.19999999999999996
Osteosarcoma,1.0,0.8,13,15,0.19999999999999996
Jewish ghettos established by Nazi Germany,1.0,0.8,69,5,0.19999999999999996
Jewish skull collection,0.6,0.4,57,5,0.19999999999999996
John C. Sanford,1.0,0.8,52,30,0.19999999999999996
Index of DOS games (C),0.6,0.4,14,30,0.19999999999999996
John Richardson Harris,0.6,0.4,78,5,0.19999999999999996
Pablum,0.6,0.4,77,5,0.19999999999999996
List of meteor showers,0.6,0.4,98,5,0.19999999999999996
Ka/Ks ratio,0.6,0.4,26,175,0.19999999999999996
Pangalliformes,0.6,0.4,1,5,0.19999999999999996
"N,N-Dimethylphenethylamine",0.6,0.4,94,5,0.19999999999999996
Image scanner,0.6,0.4,63,5,0.19999999999999996
ImKTX58,0.6,0.4,85,10,0.19999999999999996
Pandemic predictions and preparations prior to the COVID-19 pandemic,0.6,0.4,11,30,0.19999999999999996
Iguana meat,0.6,0.4,69,5,0.19999999999999996
Igor J. Koralnik,0.6,0.4,37,15,0.19999999999999996
Kinetic proofreading,0.6,0.4,100,90,0.19999999999999996
List of medically significant spider bites,0.6,0.4,65,55,0.19999999999999996
Kingella kingae,0.6,0.4,52,30,0.19999999999999996
List of the Mesozoic life of Texas,1.0,0.8,38,10,0.19999999999999996
Papilloma,1.0,0.8,46,10,0.19999999999999996
IUPAC/IUPAP Joint Working Party,1.0,0.8,41,10,0.19999999999999996
Klarisa Rikova,0.6,0.4,71,10,0.19999999999999996
Klebsiella aerogenes,0.6,0.4,50,40,0.19999999999999996
"N,O-Dimethyl-4-(2-naphthyl)piperidine-3-carboxylate",0.6,0.4,100,15,0.19999999999999996
Kille (card game),0.6,0.4,89,5,0.19999999999999996
List of mammals of South Africa,0.6,0.4,43,5,0.19999999999999996
NLRP3,0.6,0.4,34,35,0.19999999999999996
Naegleriasis,0.6,0.4,89,40,0.19999999999999996
Khalaj language,0.6,0.4,62,10,0.19999999999999996
Immune response,1.0,0.8,33,45,0.19999999999999996
Ketanserin,0.6,0.4,35,5,0.19999999999999996
Keratin 6A,0.6,0.4,62,40,0.19999999999999996
Nasal mucosa,1.0,0.8,100,10,0.19999999999999996
Immunoelectrophoresis,1.0,0.8,15,20,0.19999999999999996
Kemron,1.0,0.8,19,5,0.19999999999999996
National Investigations Committee On Aerial Phenomena,0.6,0.4,72,5,0.19999999999999996
National and University Library of Bosnia and Herzegovina,0.6,0.4,75,5,0.19999999999999996
Navis lusoria,0.6,0.4,91,5,0.19999999999999996
Lists of women,1.0,0.8,30,5,0.19999999999999996
Kaguya (mouse),0.6,0.4,96,40,0.19999999999999996
Orthohantavirus,0.6,0.4,24,100,0.19999999999999996
Japanese godan and ichidan verbs,0.6,0.4,87,5,0.19999999999999996
Paracoccidioides brasiliensis,0.6,0.4,17,10,0.19999999999999996
Iran and the Russian invasion of Ukraine,0.6,0.4,65,10,0.19999999999999996
List of wild pigeon species,0.6,0.4,50,5,0.19999999999999996
Inverted repeat-lacking clade,0.6,0.4,89,5,0.19999999999999996
Notoedric mange,0.6,0.4,62,5,0.19999999999999996
Ionotropic glutamate receptor,1.0,0.8,62,10,0.19999999999999996
Injury in animals,1.0,0.8,91,25,0.19999999999999996
Open reading frame,0.6,0.4,15,140,0.19999999999999996
Iron Guard death squads,0.6,0.4,90,5,0.19999999999999996
Intradermal injection,1.0,0.8,94,5,0.19999999999999996
Normal (geometry),1.0,0.8,31,10,0.19999999999999996
Operation Deliberate Force,0.6,0.4,94,5,0.19999999999999996
Operon,0.6,0.4,63,75,0.19999999999999996
Ophir,0.6,0.4,84,5,0.19999999999999996
Opinion polling for the 2026 Russian legislative election,0.6,0.4,78,5,0.19999999999999996
Nomen dubium,1.0,0.8,84,10,0.19999999999999996
Nucleotide base,0.6,0.4,32,30,0.19999999999999996
Intracranial hemorrhage,0.6,0.4,76,5,0.19999999999999996
Ornithopoda,0.6,0.4,60,5,0.19999999999999996
International Components for Unicode,1.0,0.8,67,50,0.19999999999999996
Integrin,1.0,0.8,61,70,0.19999999999999996
Olfactory tract,0.6,0.4,36,10,0.19999999999999996
List of years in philosophy,0.6,0.4,46,15,0.19999999999999996
Oligopeptide,0.6,0.4,2,95,0.19999999999999996
Interleukin 23,0.6,0.4,18,15,0.19999999999999996
Insertional mutagenesis,0.6,0.4,0,5,0.19999999999999996
Internet censorship circumvention,1.0,0.8,9,15,0.19999999999999996
Nuptial gift,0.6,0.4,86,5,0.19999999999999996
List of network buses,0.6,0.4,37,5,0.19999999999999996
Nystatin,1.0,0.8,19,5,0.19999999999999996
Interstitial collagenase,0.6,0.4,100,40,0.19999999999999996
Inositol trisphosphate,1.0,0.8,98,10,0.19999999999999996
Onycha,0.6,0.4,94,5,0.19999999999999996
Lists of UN numbers,1.0,0.8,50,25,0.19999999999999996
Information display systems,1.0,0.8,71,5,0.19999999999999996
Influenza transmission,0.6,0.4,0,5,0.19999999999999996
List of waste types,1.0,0.8,71,5,0.19999999999999996
Oriental rat flea,0.6,0.4,51,10,0.19999999999999996
Neutropenic enterocolitis,0.6,0.4,76,10,0.19999999999999996
Organic and Biomolecular Chemistry,0.6,0.4,65,30,0.19999999999999996
Organic food,1.0,0.8,82,5,0.19999999999999996
List of minerals named after people,1.0,0.8,43,10,0.19999999999999996
Inequalities in information theory,0.6,0.4,74,10,0.19999999999999996
Jakobid,0.6,0.4,57,5,0.19999999999999996
James Phipps,0.6,0.4,17,10,0.19999999999999996
Nl (format),0.6,0.4,81,10,0.19999999999999996
Neurotoxicity,1.0,0.8,97,25,0.19999999999999996
List of types of malnutrition,1.0,0.8,37,5,0.19999999999999996
January 2015 Île-de-France attacks,0.6,0.4,77,5,0.19999999999999996
Induced gamma emission,0.6,0.4,100,5,0.19999999999999996
Ornithodesmus,0.6,0.4,82,5,0.19999999999999996
Japanese battleship Tosa,0.6,0.4,100,5,0.19999999999999996
Nguni languages,0.6,0.4,100,5,0.19999999999999996
Inflammatory response,1.0,0.8,0,5,0.19999999999999996
Infliximab,1.0,0.8,99,5,0.19999999999999996
Nimravidae,0.6,0.4,61,5,0.19999999999999996
List of pest-repelling plants,1.0,0.8,10,5,0.19999999999999996
Ninjatō,0.6,0.4,79,5,0.19999999999999996
List of people with synesthesia,0.6,0.4,43,60,0.19999999999999996
Ixodes pacificus,1.0,0.8,31,5,0.19999999999999996
Ixodes,1.0,0.8,81,30,0.19999999999999996
Lists of ports,1.0,0.8,17,5,0.19999999999999996
List of monotremes and marsupials of Australia,0.6,0.4,56,5,0.19999999999999996
List of opioids,1.0,0.8,88,5,0.19999999999999996
Iterated binary operation,0.6,0.4,56,5,0.19999999999999996
Issues relating to social networking services,0.6,0.4,41,5,0.19999999999999996
Israel and weapons of mass destruction,0.6,0.4,72,5,0.19999999999999996
Isopentenyl pyrophosphate,0.6,0.4,79,10,0.19999999999999996
Nitrogen compounds,0.6,0.4,43,15,0.19999999999999996
Paracetamol poisoning,1.0,0.8,17,5,0.19999999999999996
Paracoccidioidomycosis,1.0,0.8,84,25,0.19999999999999996
List of Anthrax members,1.0,0.8,85,10,0.19999999999999996
Leukocyte extravasation,1.0,0.8,19,5,0.19999999999999996
Human blood group systems,1.0,0.8,49,10,0.19999999999999996
Model organism,0.6,0.4,62,5,0.19999999999999996
Lethal Company,0.6,0.4,33,5,0.19999999999999996
Lethal autonomous weapon,1.0,0.8,61,10,0.19999999999999996
Leucoanthocyanidin,0.6,0.4,95,5,0.19999999999999996
Hud (surah),0.6,0.4,68,5,0.19999999999999996
Howard Martin Temin,0.6,0.4,66,15,0.19999999999999996
Lentiviral vector,1.0,0.8,0,5,0.19999999999999996
Leukoedema,1.0,0.8,99,5,0.19999999999999996
Mites of domestic animals,0.6,0.4,53,5,0.19999999999999996
Lorpiprazole,0.6,0.4,19,5,0.19999999999999996
Mingrelian grammar,1.0,0.8,94,5,0.19999999999999996
Mineralocorticoid receptor,0.6,0.4,35,30,0.19999999999999996
Library classification,1.0,0.8,19,5,0.19999999999999996
Leptin,1.0,0.8,25,20,0.19999999999999996
Peroxisome proliferator-activated receptor gamma,1.0,0.8,79,15,0.19999999999999996
Humanized mouse,1.0,0.8,73,80,0.19999999999999996
Lee Harris (politician),0.6,0.4,8,5,0.19999999999999996
Monosaccharide,1.0,0.8,91,10,0.19999999999999996
Human skeletal changes due to bipedalism,0.6,0.4,68,5,0.19999999999999996
Periodic fever syndrome,1.0,0.8,19,20,0.19999999999999996
Leakage (machine learning),1.0,0.8,61,5,0.19999999999999996
Human nose,1.0,0.8,94,20,0.19999999999999996
List of language names,1.0,0.8,77,5,0.19999999999999996
Lees (fermentation),0.6,0.4,64,5,0.19999999999999996
Human genetic clustering,1.0,0.8,74,20,0.19999999999999996
Legionnaires' disease,1.0,0.8,32,40,0.19999999999999996
Legume lectin,1.0,0.8,76,160,0.19999999999999996
Lehmer code,0.6,0.4,28,10,0.19999999999999996
Molecular model,1.0,0.8,60,5,0.19999999999999996
Lophomonas blattarum,0.6,0.4,64,10,0.19999999999999996
Permutation test,1.0,0.8,78,5,0.19999999999999996
Mike Gibson (rugby union),0.6,0.4,10,5,0.19999999999999996
Horses in Germanic paganism,0.6,0.4,79,5,0.19999999999999996
Midichloria,0.6,0.4,61,210,0.19999999999999996
Methylation,1.0,0.8,49,35,0.19999999999999996
Hokushin-ron,0.6,0.4,98,5,0.19999999999999996
Phaseolus coccineus,0.6,0.4,58,5,0.19999999999999996
Hodgkin lymphoma,0.6,0.4,75,5,0.19999999999999996
Phenothrin,0.6,0.4,62,25,0.19999999999999996
Phenotypic trait,1.0,0.8,57,5,0.19999999999999996
Lipid,1.0,0.8,37,10,0.19999999999999996
History of the potato,0.6,0.4,67,5,0.19999999999999996
Ligand (biochemistry),1.0,0.8,92,25,0.19999999999999996
Phonological changes from Classical Latin to Proto-Romance,0.6,0.4,25,20,0.19999999999999996
History of life,1.0,0.8,51,5,0.19999999999999996
Metaphone,1.0,0.8,78,30,0.19999999999999996
Lipoprotein lipase,1.0,0.8,31,5,0.19999999999999996
History of herbalism,0.6,0.4,89,5,0.19999999999999996
List of 40 mm grenades,0.6,0.4,21,5,0.19999999999999996
Holozoa,0.6,0.4,94,15,0.19999999999999996
Michael Osterholm,0.6,0.4,80,5,0.19999999999999996
Linkage disequilibrium,0.6,0.4,0,5,0.19999999999999996
Micro.blog,1.0,0.8,91,5,0.19999999999999996
Linguistic description,1.0,0.8,55,5,0.19999999999999996
Microbial mat,1.0,0.8,12,10,0.19999999999999996
Microbial metabolism,1.0,0.8,82,25,0.19999999999999996
Homology (biology),1.0,0.8,15,5,0.19999999999999996
Linear search,0.6,0.4,72,15,0.19999999999999996
Losses in electrical systems,0.6,0.4,80,5,0.19999999999999996
Microbiological culture,1.0,0.8,9,5,0.19999999999999996
Peutz–Jeghers syndrome,1.0,0.8,39,5,0.19999999999999996
Petrified wood,1.0,0.8,16,5,0.19999999999999996
Lincosamides,0.6,0.4,64,110,0.19999999999999996
Limited-memory BFGS,1.0,0.8,73,15,0.19999999999999996
List of recently extinct arthropods,0.6,0.4,84,25,0.19999999999999996
Microsome,1.0,0.8,100,5,0.19999999999999996
Morganella morganii,1.0,0.8,55,50,0.19999999999999996
Humic substance,1.0,0.8,99,5,0.19999999999999996
ISO/IEC 27006,0.6,0.4,93,5,0.19999999999999996
Parvovirus B19,0.6,0.4,70,145,0.19999999999999996
Partition function (mathematics),1.0,0.8,52,15,0.19999999999999996
LRRK2,0.6,0.4,32,5,0.19999999999999996
Myasishchev VM-T,0.6,0.4,56,5,0.19999999999999996
List of systems of plant taxonomy,0.6,0.4,75,10,0.19999999999999996
