"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"63","Document retrieval","• Document retrieval is the process of matching user queries against a set of free-text records, which can include newspaper articles, real estate records, or manual paragraphs. • Text retrieval is a critical area of study because it forms the fundamental basis of all internet search engines. • Document retrieval systems consist of three main components: a database of documents, a classification algorithm to build a full text index, and a user interface to access the database. • The two main tasks of document retrieval systems are finding relevant documents to user queries and evaluating/sorting the matching results according to relevance using algorithms like PageRank. • There are two main classes of indexing schemes: form-based (focusing on exact syntactic properties like substring matching) and content-based (exploiting semantic connections between documents and queries). • Content-based document retrieval systems most commonly use an inverted index algorithm to process semantic connections. • Form-based systems can handle unstructured text that isn't necessarily in natural language, such as chemical representations in molecular biology. • Internet search engines are the most common and recognizable applications of document retrieval systems in everyday use.","Digital humanities","Document retrieval","Medieval dance","Armorial of the House of Plantagenet","2","Digital humanities","137","Armorial of the House of Plantagenet","174","Medieval dance","110","10"
"64","Mahatma","• **Mahatma is a Sanskrit honorific meaning 'great soul'** - derived from 'mahā' (great) and 'ātmā' (soul), commonly used as a title of respect in India. • **Most famously associated with Mohandas Gandhi** - though the title has also been applied to other notable figures like Basava, Swami Shraddhanand, and Jyotirao Phule. • **Gandhi first received the title in 1909** - the earliest written record is from a private letter by Pranjivan Mehta to Gopal Krishna Gokhale, though he was publicly honored with the title in 1915. • **Used in Theosophy to describe spiritual adepts** - Helena Blavatsky popularized the term in the late 19th century, claiming her teachers were highly evolved Mahatmas who guided spiritual development. • **Designates a class of religious scholars in Jainism** - refers to learned householders who practice Trikaranasuddhi, with documented use dating back to the 17th century. • **The Divine Light Mission employed thousands of Mahatmas** - this religious movement had up to 2,000 Mahatmas from India and Tibet who taught meditation techniques and served as local leaders until the 1980s. • **Historical documentation exists of Jain Mahatmas** - including Mahatma Hirananda who wrote the famous Mewar Ramayana manuscript in 1650, and references in the 1655 text Dabestan-e Mazaheb. • **The term has evolved across different religious contexts** - from its original Sanskrit meaning to specific technical uses in Jainism, Theosophy, and modern spiritual movements.","Rajni Patel","1984 anti-Sikh riots","Kanaiyalal Maneklal Munshi","Mahatma","4","Rajni Patel","132","Kanaiyalal Maneklal Munshi","207","1984 anti-Sikh riots","234","1"
"65","Amazon rainforest","• The Amazon rainforest covers 6 million km² (2.3 million sq mi) of the 7 million km² Amazon basin, representing over half of Earth's remaining rainforests • The forest spans nine nations, with Brazil containing 60% of it, followed by Peru (13%) and Colombia (10%) • It is the largest and most biodiverse tropical rainforest globally, containing an estimated 390 billion individual trees across about 16,000 species • More than 30 million people from 350 different ethnic groups live in the Amazon region, with indigenous peoples making up 9% of the population • Human settlement in the Amazon dates back at least 11,200 years, with evidence suggesting up to 8 million people lived there in 1492 • The indigenous population dramatically declined from approximately 5-8 million in 1500 to less than 200,000 by the early 1980s, primarily due to European diseases • Large-scale deforestation is causing significant economic and environmental damage, with potential economic losses in Brazil estimated at 7 times higher than the value of commodities produced through deforestation • Archaeological evidence reveals the Amazon was shaped by human management for over 11,000 years through practices like forest gardening and creation of fertile 'terra preta' soil","Golden monkey","Glaucous macaw","Amazon rainforest","List of recently extinct plants","3","List of recently extinct plants","240","Golden monkey","171","Glaucous macaw","130","0"
"66","Doctor Who missing episodes","• **95 of 253 episodes from Doctor Who's first six years (1963-1969) are currently missing**, primarily from seasons 3, 4, and 5, leaving 26 serials incomplete. • **The BBC routinely deleted archive programmes between 1967 and 1978** due to lack of storage space, material scarcity, and expired rebroadcast rights, affecting thousands of hours of programming across multiple series. • **All 95 missing Doctor Who episodes survive in audio form**, recorded off-air by fans at home, and most are also represented by production stills, photographs, or short video clips. • **Actors' union Equity deliberately restricted repeat rights** by setting high fees for reuse and limiting the number of times recordings could be repeated, making it financially unviable for broadcasters to keep old programmes. • **The first Doctor Who episode permanently lost was episode seven of 'The Daleks' Master Plan'**, cleared for wiping on 17 August 1967, as no film copies were ever made of this episode. • **BBC Enterprises held an almost complete archive of the series on 16mm film until approximately 1972**, but then disposed of much of this material between 1972-1978 when rights agreements expired. • **The archive purge was halted in 1978** by the intervention of fan Ian Levine, shortly after the final 1960s episodes ('The War Machines') were junked in early 1978. • **Missing episodes have been extensively restored and reconstructed** for modern release, with visuals recreated through commissioned animation or surviving footage and photographs.","Doctor Who missing episodes","DVB-H","As seen on TV","List of digital television channels in Australia","1","DVB-H","215","List of digital television channels in Australia","246","As seen on TV","148","50"
"67","List of QWERTY keyboard language variants","• QWERTY keyboard layouts exist for many languages written in the Latin script, with some designed specifically for multilingual use across multiple languages. • The UK and Ireland use a keyboard layout based on British Standard BS 4822 that differs from the US layout by including an AltGr key, larger Enter key, £ and € symbols, and different positions for characters like @, #, and ~. • US keyboards are widely used beyond the United States in many English-speaking countries including Canada, Australia, New Zealand, South Africa, and various Asian countries like Hong Kong, Malaysia, and Singapore. • The US keyboard layout lacks an AltGr key and dead keys, making it inefficient for most non-English languages but popular among programmers due to convenient placement of coding symbols like []{}. • Czech-speaking regions historically used QWERTZ layout due to Austrian-German influence, but QWERTY became common with imported computers since the 1990s. • English-speaking Canadians typically use the same keyboard as the US, while French-speaking Canadians use specialized Canadian French layouts (CFR and CFA). • Apple's British keyboards differ from the standard UK layout, with older versions using modified US layouts and newer versions adopting ISO physical layouts. • Microsoft separated keyboard and language settings in Windows 8 and later to resolve conflicts between local spelling preferences and keyboard layouts in various English-speaking regions.","List of QWERTY keyboard language variants","2020–21 Cypriot First Division","Hydroperoxyl","Vietnamese grammar","1","Vietnamese grammar","236","2020–21 Cypriot First Division","197","Hydroperoxyl","158","500"
"68","Hydrogen","• Hydrogen is the lightest and most abundant chemical element in the universe, with symbol H and atomic number 1, constituting about 75% of all normal matter. • Under standard conditions, hydrogen exists as a colorless, odorless, non-toxic, and highly combustible diatomic gas (H₂). • The name 'hydrogen' means 'water-former' from Ancient Greek, coined after Henry Cavendish discovered in 1766-1781 that it produces water when burned. • Hydrogen has three naturally occurring isotopes: protium (¹H, >99.98% abundance), deuterium (²H, stable with one neutron), and tritium (³H, radioactive with 12.32-year half-life). • Stars, including the Sun, consist mainly of hydrogen in plasma state, while on Earth it's found in water, organic compounds, and as H₂ gas. • Nearly all commercial hydrogen production comes from transforming fossil fuels, particularly through steam reforming of natural gas, though it can also be produced by water electrolysis. • Main industrial uses include fossil fuel processing and ammonia production for fertilizers, with emerging applications in fuel cells for electricity generation. • Neutral hydrogen atoms first formed about 370,000 years after the Big Bang when the universe cooled enough for electrons to bind with protons.","Thermonuclear weapon","Stable isotope ratio","Ferrihydrite","Hydrogen","4","Stable isotope ratio","206","Ferrihydrite","249","Thermonuclear weapon","178","0"
"69","Weimar political parties","• The Weimar Republic (1919-1933) had approximately 40 political parties represented in the Reichstag during its 14-year existence, creating significant political fragmentation. • The proportional representation electoral system encouraged the formation of regional and special interest parties, contributing to political instability. • After seizing power, the Nazis systematically eliminated opposition parties: Communists in March 1933, Social Democrats in June 1933, and all remaining parties through the 'Law Against the Formation of Parties' on July 14, 1933. • Major political unions included the SPD-affiliated ADGB and conservative organizations like the Deutschnationaler Handlungsgehilfenverband (DHV), which represented different worker and employee interests. • Secret paramilitary organizations like Organisation Consul (1920-1922) and Bund Wiking conducted terrorist activities and political assassinations to destabilize the Republic. • The Nazi Party (NSDAP) grew dramatically from 810,000 votes (12 seats) in May 1928 to 4.6 million votes (77 seats) by September 1930, demonstrating their rapid rise to power. • Voter turnout remained consistently high throughout the Weimar period, ranging from 74.6% to 81.4% in major elections. • Anti-republican organizations like the Pan-German League and Völkisch movement actively opposed the Weimar government and democratic system.","Music of the Soviet Union","Weimar political parties","Army of the Socialist Republic of Romania","National-Christian Defense League","2","Music of the Soviet Union","177","National-Christian Defense League","170","Army of the Socialist Republic of Romania","114","500"
"70","Air raids on Japan","• Allied forces conducted air raids on Japan from 1942 to 1945, killing between 241,000 and 900,000 people and causing extensive destruction to Japanese cities. • The strategic bombing campaign began in earnest in mid-1944 using Boeing B-29 Superfortress bombers, initially operating from India and China, then expanding significantly from November 1944 using airfields in the Mariana Islands. • In February 1945, the USAAF shifted strategy from high-altitude precision bombing to low-altitude nighttime firebombing of urban areas, which proved more effective at damaging Japan's industrial capacity. • On August 6 and 9, 1945, the United States dropped atomic bombs on Hiroshima and Nagasaki, mostly destroying both cities. • Japan's air defenses were inadequate - fighter aircraft and anti-aircraft guns couldn't effectively reach the high altitudes of B-29s, and acute fuel shortages and poor pilot training further limited defensive capabilities. • By June 1945, the Japanese military largely ceased contesting Allied air raids to conserve aircraft for defending against an expected invasion of the home islands. • Japanese cities were particularly vulnerable to incendiary attacks due to inadequate firefighting services and few air raid shelters for civilians. • The bombing campaign was one of the main factors that influenced Japan's decision to surrender in mid-August 1945, and significantly reduced Japanese industrial production.","Liberation of Auschwitz concentration camp","Air raids on Japan","Radar in World War II","List of Classes of French ships of World War II","2","Radar in World War II","142","Liberation of Auschwitz concentration camp","212","List of Classes of French ships of World War II","111","25"
"71","Vesuvianite","• Vesuvianite (also known as idocrase) is a silicate mineral that occurs in green, brown, yellow, or blue colors and forms tetragonal crystals in skarn deposits and contact metamorphosed limestones. • The mineral was first discovered at Mount Vesuvius in included blocks or adjacent to lavas, which is how it got its name when Abraham Gottlob Werner named it in 1795. • Vesuvianite has a specific gravity of 3.4 and a Mohs hardness of 6.5, making it suitable for cutting as gemstones when attractive crystals are found. • Notable varieties include cyprine (sky blue variety colored by copper impurities), californite (jade-like variety also called California jade), xanthite (manganese-rich variety), and wiluite (optically positive variety from Siberia). • Important localities for fine crystallized specimens include Mount Vesuvius and the Ala Valley near Turin, Piedmont, with the original Vesuvius specimens being brown crystals found in ejected limestone blocks of Monte Somma. • The mineral has multiple names in common use, including idocrase (given by René Just Haüy in 1796), and variant spellings like Vessonite and Vassolite are commonly encountered in the gem trade.","Sesotho orthography","Vesuvianite","Main-group element","MT-ATP6","2","Sesotho orthography","217","Main-group element","116","MT-ATP6","128","350"
"72","Fas ligand","• **Fas ligand (FasL) is a type-II transmembrane protein in the TNF superfamily** that binds to the Fas receptor (CD95) to induce apoptosis in target cells. • **FasL exists in two forms: membrane-bound and soluble**, with the membrane-bound form being more potent for apoptosis induction, while the soluble form (sFasL) is created through metalloproteinase cleavage. • **FasL is primarily expressed by cytotoxic T lymphocytes (CTLs) and natural killer (NK) cells** to eliminate target cells as part of their immune effector functions. • **FasL mediates immune privilege in specialized tissues** like the eye, brain, testis, and placenta by killing invading Fas-expressing lymphocytes to protect these sites from immune-mediated destruction. • **FasL binding to Fas receptor triggers apoptosis through the formation of DISC** (death-inducing signaling complex), which activates a cascade of caspases leading to cell death. • **FasL plays a crucial role in immune homeostasis** by eliminating self-reactive lymphocytes and removing activated immune cells after pathogen clearance during immune response contraction. • **Beyond apoptosis, FasL also activates non-apoptotic pathways** including NF-κB and MAPK signaling that can promote cell survival, inflammation, and proliferation. • **The protein structure consists of 281 amino acids** organized into an intracellular N-terminal domain, a transmembrane domain, and an extracellular C-terminal domain that contains the receptor-binding activity.","Fas ligand","Cysteinyl leukotriene receptor 1","Immunoglobulin Y","Chromosome 3","1","Cysteinyl leukotriene receptor 1","168","Chromosome 3","107","Immunoglobulin Y","146","200"
"73","Geometry","• Geometry is a branch of mathematics concerned with properties of space such as distance, shape, size, and relative position of figures, and is one of the oldest branches of mathematics along with arithmetic. • Until the 19th century, geometry was almost exclusively devoted to Euclidean geometry, which includes fundamental concepts like point, line, plane, distance, angle, surface, and curve. • The earliest recorded beginnings of geometry can be traced to ancient Mesopotamia and Egypt in the 2nd millennium BC, with early texts including the Egyptian Rhind Papyrus (2000–1800 BC) and Babylonian clay tablets like Plimpton 322 (1900 BC). • Around 300 BC, Euclid revolutionized geometry with his work 'Elements,' which introduced mathematical rigor through the axiomatic method and is considered one of the most successful and influential textbooks of all time. • During the 19th century, major discoveries dramatically expanded geometry's scope, including the development of non-Euclidean geometries that don't follow the parallel postulate, which later became fundamental to Einstein's general relativity. • Carl Friedrich Gauss's Theorema Egregium established that surfaces can be studied intrinsically as stand-alone spaces, leading to the development of manifold theory and Riemannian geometry. • Modern geometry has split into many specialized subfields including differential geometry, algebraic geometry, computational geometry, projective geometry, and discrete geometry, each focusing on different methods or properties. • Geometry has practical applications across almost all sciences, as well as in art, architecture, and graphics, and also plays crucial roles in seemingly unrelated mathematical areas, such as in Wiles's proof of Fermat's Last Theorem.","Geometry","Real projective plane","Object of the mind","Graph drawing","1","Real projective plane","207","Graph drawing","163","Object of the mind","140","0"
"74","Parameter","• A parameter is any characteristic that helps define or classify a system, derived from Ancient Greek words meaning 'beside' and 'measure' • Parameters have specific technical meanings across multiple disciplines including mathematics, computer programming, engineering, statistics, logic, linguistics, and electronic music composition • In system modeling, parameters are the values that describe a system when it is represented by equations, such as masses, dimensions, densities, and viscosities in mechanical systems • Choosing a convenient set of parameters to describe a system is called parametrization, with multiple valid approaches possible for the same system • In mathematical functions, parameters differ from variables in that they are not listed as arguments but instead define a family of functions, with each parameter set creating a specific function • Parameters can be incorporated into function names to indicate dependence, such as the base 'b' in logarithmic functions log_b(x) • Changing the status of symbols between parameters and variables fundamentally changes the mathematical function, affecting properties like whether it remains polynomial • The same mathematical expression can represent different types of functions depending on which symbols are treated as parameters versus variables","Tensor decomposition","Parameter","Five color theorem","Dimension of an algebraic variety","2","Five color theorem","137","Dimension of an algebraic variety","135","Tensor decomposition","109","500"
"75","Red Napoleon","• Red Napoleon was a nickname for communist generals, popularized in the 1920s by White Russian émigrés who speculated that a Soviet general might overthrow the government in a coup. • The term originated from historical parallels between the Russian Revolution and French Revolution, as Napoleon Bonaparte had ended the first French Republic through a military coup. • Leon Trotsky was initially the primary focus of 'Red Napoleon' speculation due to his leadership of the Red Army and charismatic personality, though he never attempted a coup. • Mikhail Tukhachevsky was later considered the prime candidate for becoming a 'Red Napoleon,' along with other prominent Soviet generals like Vasily Blyukher and Semyon Budyonny. • The Soviet secret police deliberately spread rumors among White émigrés about generals planning coups in order to entrap those interested in joining such plots. • Western fears of a 'Red Napoleon' included concerns about a potential Soviet conquest of Europe, exemplified by Floyd Gibbons' 1929 novel 'The Red Napoleon.' • The nickname was later applied to communist generals in other countries, including Zhu De ('Red Napoleon of China'), Georgy Zhukov, and Võ Nguyên Giáp of North Vietnam. • In later usage, the term sometimes simply reflected respect for military ability rather than implying political ambitions for a coup.","Marocchinate","Red Napoleon","Cisalpine Republic","Mozart's nationality","2","Marocchinate","111","Cisalpine Republic","233","Mozart's nationality","177","100"
"76","2016 Dutch Ukraine–European Union Association Agreement referendum","• An advisory referendum on the Ukraine–European Union Association Agreement was held in the Netherlands on April 6, 2016, with 61% voting against and 38.2% voting in favor on a 32.28% turnout. • The referendum was triggered after more than 427,000 valid requests were collected within six weeks, exceeding the required 300,000 signatures needed under the Advisory Referendum Act. • GeenPeil, a cooperation between GeenStijl website and organizations Burgercomité EU and Forum voor Democratie, organized the signature collection campaign using a web application. • The referendum was suspensory and non-binding, meaning the government had to propose new legislation to either retract or implement the agreement despite the rejection. • This was the first referendum held under the Advisory Referendum Act, which was enacted on July 1, 2015, and later repealed in 2018. • Following the 'no' vote, the Dutch government secured an additional agreement with EU member states in December 2016 to address concerns, without changing the original association agreement. • The Netherlands ultimately approved the Association Agreement in May 2017 and deposited its ratification on June 15, 2017, allowing the agreement to enter into force on September 1, 2017. • The Ukraine-EU Association Agreement establishes political and economic cooperation, including a Deep and Comprehensive Free Trade Area, with about 70% of the agreement already applied provisionally since 2014-2016.","Lists of sovereign states and dependent territories","European driving licence","Resource Description Framework","2016 Dutch Ukraine–European Union Association Agreement referendum","4","Resource Description Framework","117","Lists of sovereign states and dependent territories","123","European driving licence","121","150"
"77","Television channel frequencies","• Television channels are broadcast in two main frequency bands: VHF (Very High Frequency) and UHF (Ultra High Frequency), with channel bandwidth typically occupying 6, 7, or 8 MHz depending on the transmission system used. • Analog television broadcasts have been phased out in most regions worldwide and replaced by digital television broadcasts. • During World War II, the U.S. military appropriated frequencies originally assigned as TV channels 13-18, which they still use today, forcing a reassignment of VHF channel allocations that took effect February 25, 1946. • Different regions use different television transmission systems: System M (525 lines) is used in most Americas countries, South Korea, Taiwan and Philippines, while System N (625 lines) is used in Argentina, Paraguay and Uruguay. • Channel frequency spacing varies by region - most countries use 6 MHz spacing, though some use 7 or 8 MHz, and there are unique cases like Japan where channels 7 and 8 overlap. • Some TV channel frequencies overlap with FM radio bands, such as TV channel 6 in North America which can be heard on FM 87.75, and various European channels that intersect with the FM band. • Many early experimental channels (like channels 1 and 1A in Europe, and channel 1 in France using 441-line system) have been discontinued or reallocated for other uses including FM radio expansion. • Australia transitioned to digital television in 2001, discontinuing several VHF channels (0-5A) and adjusting others, while New Zealand ceased VHF analog TV broadcasting on December 1, 2013.","Television in Singapore","Television channel frequencies","Terrestrial television","TVM (Malta)","2","Terrestrial television","111","Television in Singapore","181","TVM (Malta)","221","5"
"78","Isaac Newton","• **Born January 4, 1643, died March 31, 1727** - English polymath who was a mathematician, physicist, astronomer, and key figure in the Scientific Revolution • **Published 'Principia Mathematica' in 1687** - This groundbreaking work established classical mechanics and formulated the laws of motion and universal gravitation • **Co-developed calculus with Leibniz** - Newton actually developed calculus years before Leibniz, making fundamental contributions to mathematics • **Built the first reflecting telescope** - Also developed sophisticated theories of color and light, demonstrating that prisms separate white light into the visible spectrum • **Served as Lucasian Professor of Mathematics at Cambridge** - Appointed at age 26, he was a fellow of Trinity College and later served as president of the Royal Society (1703-1727) • **His laws of motion and gravitation dominated science for centuries** - These principles remained the prevailing scientific viewpoint until superseded by Einstein's theory of relativity • **Made significant contributions to optics** - His work on light was published in 'Opticks' (1704) and included innovations that later became integral to laser development • **Served as Master of the Royal Mint** - Spent his final decades in London (1699-1727) improving the accuracy and security of British coinage, and was knighted by Queen Anne in 1705","Magnetic reluctance","Latin square","Experimental physics","Isaac Newton","4","Experimental physics","234","Latin square","192","Magnetic reluctance","117","0"
"79","Probability","• Probability is a numerical measure of how likely an event is to occur, expressed as a number between 0 and 1 (or 0% to 100%), where larger numbers indicate higher likelihood. • Probability theory has widespread applications across multiple fields including statistics, mathematics, science, finance, artificial intelligence, machine learning, computer science, and game theory. • There are two main categories of probability interpretation: objectivist (including frequentist probability based on long-run relative frequency) and subjectivist (including Bayesian probability that incorporates prior beliefs and expert knowledge). • Theoretical probability is calculated by dividing the number of desired outcomes by the total number of possible outcomes in well-defined random experiments. • The mathematical study of probability began in the 17th century with correspondence between Pierre de Fermat and Blaise Pascal (1654), followed by early scientific treatments by Christiaan Huygens (1657). • The word 'probability' derives from Latin 'probabilitas,' which originally meant 'probity' and referred to the authority or credibility of a witness in legal cases, differing significantly from its modern mathematical meaning. • Gerolamo Cardano, a 16th-century Italian polymath, was among the first to define odds as the ratio of favorable to unfavorable outcomes, laying groundwork for modern probability calculations.","Probability","Boy or girl paradox","Pattern recognition","Marginal distribution","1","Marginal distribution","117","Pattern recognition","138","Boy or girl paradox","102","0"
"80","Seven-segment display character representations","• Seven-segment display character representations are not standardized by any official entity (ISO, IEEE, or IEC), though Unicode 13.0 provides encoding codepoints in the Symbols for Legacy Computing block. • Multiple conventions exist for displaying certain digits, with optional segments for digit 6 (segment A), digit 7 (segment F), and digit 9 (segment D). • For hexadecimal digits A-F, the modern standard uses uppercase A, lowercase b, uppercase C, lowercase d, uppercase E and F, though historical implementations varied significantly across manufacturers. • Seven-segment displays can show most letters of Latin, Cyrillic, and Greek alphabets, but certain letters (M, V, W, X) cannot be expressed unambiguously due to diagonal strokes or multiple vertical segments. • Different decoder chips historically used various schemes for displaying hexadecimal values, including Texas Instruments chips that used truncated number forms and Soviet calculators that used symbols like '−', 'L', 'C', 'Г', 'E'. • Some letters can only be displayed in either uppercase or lowercase form but not both, limiting the flexibility of text representation on seven-segment displays. • Seven-segment displays are typically used for basic notifications on consumer electronics and internal test messages, where more complex displays (14-segment, 16-segment, or dot matrix) are preferred for critical or extensive text display needs.","Seven-segment display character representations","Suffix array","Majority","Pascal's pyramid","1","Majority","153","Suffix array","225","Pascal's pyramid","181","50"
"81","Persistent homology","• Persistent homology is a method in topological data analysis for computing topological features of a space at different spatial resolutions to distinguish true features from noise or sampling artifacts. • The method requires representing the space as a simplicial complex with a distance function that corresponds to a filtration - a nested sequence of increasing subsets. • Common construction methods include Čech filtration (using sublevel filtration of distance to a point cloud) and Vietoris-Rips filtration (using nested sequences of Vietoris-Rips complexes). • The mathematical foundation involves a real-valued function on a simplicial complex that is non-decreasing on increasing sequences of faces, creating sublevel sets that form a filtration from empty set to the full complex. • Inclusions between complexes in the filtration induce homomorphisms on simplicial homology groups, whose images define the persistent homology groups. • Persistent Betti numbers measure the ranks of persistent homology groups and quantify the persistence of topological features across different scales. • For dimension p=0, persistent Betti numbers coincide with the size function, which was a predecessor to persistent homology. • Any filtered complex over a field can be transformed to canonical form - a direct sum of one-dimensional complexes with trivial differential and two-dimensional complexes with trivial homology.","Zud","Pfam","Anchor modeling","Persistent homology","4","Anchor modeling","165","Pfam","152","Zud","184","750"
"82","Lord Howe Island Marine Park","• Lord Howe Island is a crescent-shaped volcanic remnant located 600 km east of mainland Australia in the Tasman Sea, covering 14.55 km² with the highest point being Mount Gower at 875 meters. • The island was first sighted by Europeans on February 17, 1788, by Lieutenant Henry Lidgbird Ball during a voyage to establish a penal settlement on Norfolk Island, and was permanently settled in June 1834. • Lord Howe Island was uninhabited before European discovery, with extensive archaeological investigation in 1996 finding no evidence of prehistoric human settlement or Polynesian presence. • The island is a UNESCO World Heritage Site recognized for its global natural significance, featuring endemic species found nowhere else in the world and the world's southernmost barrier coral reef. • About 70% of the island is protected as a 'Permanent Park Preserve' established by the Lord Howe Island Act 1981, with surrounding waters designated as the Lord Howe Island Marine Park. • The island's economy historically relied on whaling provisioning, then shifted to exporting endemic kentia palms (beginning in the 1880s) and tourism (starting after World War II in 1945). • The Lord Howe Island Group consists of 28 islands, islets, and rocks, including the notable Ball's Pyramid located 23 km southeast of the main island. • The island is administered as an unincorporated area by the Lord Howe Island Board, which reports to the New South Wales Minister for Environment and Heritage.","Lord Howe Island Marine Park","Townsville","List of Quaternary volcanic eruptions","Eastern grey kangaroo","1","Eastern grey kangaroo","171","Townsville","242","List of Quaternary volcanic eruptions","176","5"
"83","Sisygambis","• Sisygambis was the mother of Darius III of Persia and died in 323 BCE, the same year as Alexander the Great. • She was captured by Alexander the Great at the Battle of Issus in 333 BCE when Darius III fled the battlefield, leaving his family behind. • Despite being a captive, Alexander treated her with great dignity and respect, eventually referring to her as 'mother' and she became devoted to him. • She famously mistook Hephaestion for Alexander when pleading for her family's lives, leading to Alexander's reassuring words: 'You were not mistaken, Mother; this man too is Alexander.' • Alexander arranged for her to learn Greek while he was away conquering, and later married her granddaughter Stateira II in 324 BCE as part of the Susa weddings. • After Alexander's death, she was so overwhelmed with grief that she sealed herself in her rooms, refused to eat, and died of starvation four days later. • Her story, particularly the scene of mistaking Hephaestion for Alexander, became a popular subject in Western art by painters like Charles le Brun and Paolo Veronese. • Asteroid 823 Sisigambis was named in her honor, reflecting her lasting historical significance.","Alexander Dmitriev-Mamonov","Sisygambis","Trabluslu Ali Pasha","Ivan Alexander of Bulgaria","2","Ivan Alexander of Bulgaria","132","Alexander Dmitriev-Mamonov","241","Trabluslu Ali Pasha","146","50"
"84","Halite","I notice there's a discrepancy in your request. You've asked me to extract key facts about 'Halite' (which is typically the mineral form of sodium chloride/rock salt), but the Wikipedia article you've provided is actually about 'Halit' - a Turkish given name. Based on the article content you've provided, here are the key facts about the name Halit: • Halit is the Turkish spelling of the Arabic masculine given name Khalid (خَالِد) • The name means 'eternal,' 'everlasting,' or 'immortal' in Arabic • Notable people with this name include actors, military officers, athletes, writers, and politicians • The name spans multiple generations, with bearers ranging from the 1800s to present day • Halit can be used as both a first name and middle name in Turkish culture • The name is also found among Albanian individuals, indicating cross-cultural usage • Many prominent Turkish cultural figures have carried this name, including film directors, authors, and journalists If you were actually looking for information about halite (the mineral), please provide the correct article content and I'll be happy to extract those key facts instead.","List of biblical names starting with L","Halite","List of the Dead Sea Scrolls","Salted bomb","2","List of the Dead Sea Scrolls","120","Salted bomb","210","List of biblical names starting with L","146","5"
"85","Simple continued fraction","• A simple continued fraction has all numerators equal to one and denominators built from a sequence of integers {aᵢ} • The integer sequence {aᵢ} can be either finite or infinite, determining whether the continued fraction terminates or continues indefinitely • Finite continued fractions have a specific endpoint (aₙ) and represent rational numbers • Infinite continued fractions continue without end and typically represent irrational numbers • The general form follows a nested fraction pattern: a₀ + 1/(a₁ + 1/(a₂ + 1/(a₃ + ...))) • Simple continued fractions are also called 'regular continued fractions' to distinguish them from more general forms • The sequence of integers {aᵢ} completely determines the value of the continued fraction","Simple continued fraction","Index notation","Gaussian binomial coefficient","SPARQL","1","Index notation","243","SPARQL","130","Gaussian binomial coefficient","167","10"
"86","EICAR test file","• The EICAR test file was developed by the European Institute for Computer Antivirus Research (EICAR) and Computer Antivirus Research Organization to safely test antivirus software without using real malware that could cause damage. • The file is a 68-128 byte text file that functions as a legitimate executable (.com file) for MS-DOS and Windows systems, printing 'EICAR-STANDARD-ANTIVIRUS-TEST-FILE!' when run. • The test string was created by antivirus researchers Padgett Peterson and Paul Ducklin, designed to use only ASCII human-readable characters that can be typed on a standard keyboard. • Antivirus programs are programmed to detect the EICAR string as a verified virus signature and respond similarly to how they would handle real malware, though not all scanners are compliant. • The test file can be compressed or archived to test whether antivirus software can detect threats within compressed files, making it versatile for testing various scanner capabilities. • According to EICAR specifications, antiviruses should only flag the file if it starts with the exact 68-byte test string and is no longer than 128 bytes total. • The file uses self-modifying code to work around technical limitations imposed by the constraint of using only human-readable ASCII characters. • Despite being a test file, it can potentially be exploited for malicious purposes, such as causing race conditions that might make antivirus software delete itself.","EICAR test file","Antimicrobial peptides","SARS-CoV-2 Alpha variant","Hepatitis","1","Hepatitis","246","Antimicrobial peptides","237","SARS-CoV-2 Alpha variant","138","100"
"87","List of quasars","• More than a million quasars have been observed, making any Wikipedia list necessarily a selective sample of these astronomical objects. • No quasars are currently visible to the naked eye, despite their enormous energy output. • Quasars follow specific naming conventions using either B1950 coordinates (Qxxxx±yy format) or J2000 coordinates (QSO Jxxxx±yyyy format), with some using the QSR prefix. • Gravitational lensing can cause single quasars to appear as multiple images when viewed from Earth, creating multiply imaged quasars. • Some quasars exhibit apparent superluminal jet motion due to relativistic effects and their line-of-sight orientation relative to Earth. • The majority of quasars have redshift values (z) between 2 and 5, with any quasar having z > 1 receding faster than the speed of light due to cosmic expansion. • Quasars held the record as the most distant known objects in the universe from 1964 until 1997, when they were surpassed by a pair of non-quasar galaxies. • Large Quasar Groups (LQGs) represent collections of quasars bound to filaments of mass rather than being directly gravitationally bound to each other. • Quasars can exist in various configurations including binary and trinary systems where they are physically close to each other, as well as visual associations where they only appear close from Earth's perspective.","List of quasars","Columbia University sundial","Time-variation of fundamental constants","Akan names","1","Time-variation of fundamental constants","184","Akan names","169","Columbia University sundial","131","350"
